"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"118","Mineral County",32021,"NV",4500,4772,-5.7,4772,6.1,19.1,25.1,51.3,71.6,4.6,16.9,2.5,0.2,4.2,10.8,65.1,81.9,4.7,8,88.1,11,813,12.6,2794,71.7,13.3,95500,2147,2.13,23146,35017,20.5,59,1080,-3.6,174,342,0,0,0,0,0,32.5,0,0,0,0,20183,1,3752.84,1.3,396450,264
"119","Mitchell County",19131,"IA",10779,10772,0.1,10776,5.6,23.9,21.5,50.5,98.3,0.6,0.1,0.3,0,0.7,1.2,97.2,91.9,1.4,5.5,91,15.7,895,16.6,4916,81.4,6.5,108100,4389,2.39,24518,51078,7.1,326,3097,-3.1,864,1225,0,0,0,0,0,0,252014,228655,93053,8627,5070,25,469.13,23,980889,871
"120","Monona County",19133,"IA",8996,9243,-2.7,9243,5.1,21.4,24.6,50.6,97,0.5,1.1,0.3,0.1,1,2,95.2,88.4,0.9,2.6,89.7,14.3,965,21.3,4715,70.7,11.3,77800,3981,2.26,24557,42025,9,233,2086,5.2,646,829,0,0,0,0,0,16.4,0,77612,99152,10868,7234,7,694.07,13.3,806941.2,811
"121","Monroe County",19135,"IA",8001,7970,0.4,7970,5.5,23.6,19,49.8,97.3,0.6,0.1,0.8,0,1.2,2.4,95.2,84.8,4.3,5.1,86.7,19.3,645,25.1,3892,75.5,7.9,95200,3361,2.34,24508,45997,11.8,173,1895,1.8,553,521,0,0,0,0,0,21.1,0,46184,62488,8256,0,82,433.72,18.4,693686.7,839
"122","Montgomery County",19137,"IA",10421,10740,-3,10740,5.7,22.6,20.8,51.1,97.7,0.4,0.5,0.4,0,1,3.5,94.5,88.3,1.3,3.2,87.4,15.1,897,18.7,5200,71.8,13.1,79600,4553,2.28,22868,44281,16.1,308,3056,1.7,731,952,0,0,0,0,0,14.3,180839,150731,88288,8071,7599,13,424.1,25.3,910795.4,871
"123","Muscatine County",19139,"IA",42903,42747,0.4,42745,6.7,25.4,15,50.2,94.6,2.2,0.6,1.1,0,1.4,17.2,78.5,88.1,6,14.4,84.6,16.2,2866,18,17996,74.9,15.4,124400,16410,2.58,25038,51425,14.4,940,19720,1,2085,3523,0.8,0,0,0,3.3,32.1,0,377484,448581,10566,44245,51,437.47,97.7,3629593.8,4214
"124","Newberry County",45071,"SC",37783,37508,0.7,37508,5.8,22,18,51.4,65.5,31.3,0.8,0.7,0.3,1.3,7.5,60,86.1,5.4,7.7,76.9,18.9,2679,24.4,17977,71.5,7.6,107400,14254,2.55,21591,41718,17.2,710,10824,-2.4,1805,2650,0,0,0,0,0,23.6,1277465,0,369861,9707,30350,59,630.04,59.5,2905512.7,8470
"125","Nye County",32023,"NV",42282,43945,-3.8,43946,4.3,18,27.9,49.5,90.1,2.7,2,1.8,0.5,3,14.4,77.5,82.3,8,11.3,83.3,12.3,7469,26.5,21783,70.9,6.7,112600,18046,2.38,21838,39876,18.9,643,6647,-7,2187,3179,0,0,3.8,0,0,29.3,0,0,396798,9004,88105,0,18181.92,2.4,3522090.6,1874
"126","Oconee County",45073,"SC",75192,74275,1.2,74273,5.4,20.4,21.6,50.5,89.5,7.8,0.3,0.8,0,1.6,4.8,85.2,84,3.2,4.7,83.1,21.7,7307,24.3,39128,75.2,9,136300,30106,2.45,23904,41394,19.1,1448,19716,-1.6,4474,6027,2.6,0,0,0,1.2,27.6,1546420,0,743455,10518,62807,243,626.33,118.6,6248455.2,18844
"127","Orangeburg County",45075,"SC",90090,92495,-2.6,92501,6.3,22.6,17.1,53.1,34.9,62.2,0.6,1,0,1.3,2.1,33.6,90.1,2,3.3,79.3,18.6,6482,24.3,42184,68.2,9.3,84700,34180,2.59,17687,34110,23.7,1650,25573,1.2,4912,6302,35.2,0,1.3,0,0.5,34.1,2597882,405655,1007038,11113,152207,41,1106.1,83.6,7144137,19959
